name,pick,xVORP,xVORP_impact,Peak Impact Rating,Immediate Impact Rating,ceiling_player,floor_player,ceiling_player_rating,floor_player_rating,year
Kel'el Ware,15,0.659875166,0.233869408,4.4,2.92,Clint Capela,Daniel Oturu,"{1.0: 2.8, 2.0: 0.6, 3.0: 1.1, 4.0: 2.1, 5.0: 2.8, 6.0: 1.0, 7.0: 1.2, 8.0: 2.2, 9.0: -0.1, 10.0: 1.8}","{1.0: 0.0, 2.0: -0.1}",2024
Terrence Shannon Jr.,27,0.294012982,0.055066817,1.96,0.69,Damian Lillard,Cleanthony Early,"{1.0: 1.8, 2.0: 4.9, 3.0: 2.7, 4.0: 6.3, 5.0: 0.9, 6.0: 5.0, 7.0: 4.3, 8.0: 3.9, 9.0: 4.8, 10.0: 5.9, 11.0: 4.9, 12.0: 6.0}","{1.0: -0.5, 2.0: -0.3}",2024
Yves Missi,21,0.669906852,0.121116225,4.47,1.51,Bam Adebayo,Dewan Hernandez,"{1.0: 2.7, 2.0: 3.3, 3.0: 1.8, 4.0: 2.3, 5.0: 2.7, 6.0: 0.6, 7.0: 3.7}",{1.0: -0.1},2024
Isaiah Collier,29,0.335005148,-0.228022261,2.23,-2.85,Dejounte Murray,Tyshawn Taylor,"{1.0: 1.1, 2.0: -0.2, 3.0: 1.5, 4.0: 2.6, 5.0: 2.1, 6.0: 4.4, 7.0: 1.0}","{1.0: -0.3, 2.0: -0.5}",2024
Tyler Smith,33,0.431603044,-0.070938236,2.88,-0.89,Miles Bridges,Sekou Doumbouya,"{1.0: -0.3, 2.0: 0.5, 3.0: 2.5, 4.0: 1.1, 5.0: 0.6}","{1.0: -1.0, 2.0: 0.1, 3.0: -0.9}",2024
Tyler Kolek,34,0.217360552,0.03302874,1.45,0.41,Tyrese Haliburton,Davion Mitchell,"{1.0: 5.0, 2.0: 1.5, 3.0: 1.1, 4.0: 3.1, 5.0: 2.0, 6.0: 4.4}","{1.0: -0.3, 2.0: -0.4, 3.0: -0.9}",2024
Zach Edey,9,0.92648956,0.501166632,6.18,6.26,Jakob Poeltl,James Wiseman,"{1.0: 1.3, 2.0: 1.3, 3.0: 1.3, 4.0: 0.9, 5.0: 1.9, 6.0: 1.0, 7.0: -0.2, 8.0: 0.9, 9.0: 0.9, 10.0: 1.7}","{1.0: 0.0, 2.0: -0.4, 3.0: -0.6, 4.0: -0.3, 5.0: -0.4}",2024
DaRon Holmes II,22,0.619279218,0.177103664,4.13,2.21,Jakob Poeltl,Cameron Bairstow,"{1.0: 1.3, 2.0: 1.3, 3.0: 1.3, 4.0: 0.9, 5.0: 1.9, 6.0: 1.0, 7.0: -0.2, 8.0: 0.9, 9.0: 0.9, 10.0: 1.7}","{1.0: -0.1, 2.0: -0.1}",2024
Kyshawn George,24,0.152198861,-0.101644209,1.01,-1.27,Arnoldas Kulboka,Joshua Primo,{1.0: 0.0},"{1.0: -0.1, 2.0: -0.1, 3.0: -0.7}",2024
Bobi Klintman,37,0.128036819,-0.059465252,0.85,-0.74,Patrick Williams,Sekou Doumbouya,"{1.0: -0.1, 2.0: 0.4, 3.0: -0.2, 4.0: 0.0}","{1.0: -1.0, 2.0: 0.1, 3.0: -0.9}",2024
Carlton Carrington,14,0.355700407,-0.116875941,2.37,-1.46,Tyrese Maxey,Marquis Teague,"{1.0: 3.4, 2.0: 1.8, 3.0: 1.3, 4.0: 0.1}","{1.0: -0.6, 2.0: -0.2, 3.0: -0.4, 4.0: -0.1, 5.0: -0.4}",2024
Baylor Scheierman,30,0.159906901,0.011335762,1.07,0.14,Desmond Bane,Isaiah Livers,"{1.0: 1.7, 2.0: 2.7, 3.0: 2.5, 4.0: 0.5}","{1.0: -0.1, 2.0: 0.0, 3.0: -0.5}",2024
